Binary Muzzifier_2dim, number of iterations: 10

Parameters info
Tradeoffs parameter: [  0.1   1.   10.  100. ]
Gaussian kernel sigmas: [0.2   0.225 0.25  0.275 0.3  ]
Number of principal dimension considerated: 2
Dataset length: 150

Clusterization info
Minimum size of a cluster: in perc: 0.01, in int: 2
Type of mu: Binary Muzzifier
Fuzzifier: Linear
Cluster to label info
Force the number of cluster to be the number of different labels: True
Force the labels to be always represent by a cluster: True

Validation info
Conflict resolution: random


RESULTS

On TEST set

Accuracy on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 100.0, 0.2): 0.8
(1, 1.0, 0.3): 0.666666666667
(2, 10.0, 0.2): 0.8
(3, 1.0, 0.2): 0.866666666667
(4, 10.0, 0.275): 0.866666666667
(5, 100.0, 0.2): 0.733333333333
(6, 10.0, 0.2): 0.733333333333
(7, 10.0, 0.25): 0.666666666667
(8, 10.0, 0.3): 0.6
(9, 100.0, 0.25): 0.933333333333

Loss on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 100.0, 0.2): 0.2
(1, 1.0, 0.3): 0.333333333333
(2, 10.0, 0.2): 0.2
(3, 1.0, 0.2): 0.133333333333
(4, 10.0, 0.275): 0.133333333333
(5, 100.0, 0.2): 0.266666666667
(6, 10.0, 0.2): 0.266666666667
(7, 10.0, 0.25): 0.333333333333
(8, 10.0, 0.3): 0.4
(9, 100.0, 0.25): 0.0666666666667

Accuracy mean :0.7666666666666666
Std deviation :0.10000000000000003
Loss mean :0.23333333333333334
Std deviation :0.1

On TRAINING set

Accuracy on training set for every iteration (n_of_the_iter, c, sigma):
(0, 100.0, 0.2): 0.82962962963
(1, 1.0, 0.3): 0.792592592593
(2, 10.0, 0.2): 0.814814814815
(3, 1.0, 0.2): 0.814814814815
(4, 10.0, 0.275): 0.762962962963
(5, 100.0, 0.2): 0.874074074074
(6, 10.0, 0.2): 0.888888888889
(7, 10.0, 0.25): 0.725925925926
(8, 10.0, 0.3): 0.681481481481
(9, 100.0, 0.25): 0.837037037037
Loss on training set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 100.0, 0.2): 0.17037037037
(1, 1.0, 0.3): 0.207407407407
(2, 10.0, 0.2): 0.185185185185
(3, 1.0, 0.2): 0.185185185185
(4, 10.0, 0.275): 0.237037037037
(5, 100.0, 0.2): 0.125925925926
(6, 10.0, 0.2): 0.111111111111
(7, 10.0, 0.25): 0.274074074074
(8, 10.0, 0.3): 0.318518518519
(9, 100.0, 0.25): 0.162962962963

Accuracy mean :0.8022222222222222
Std deviation :0.06081747637068448
Loss mean :0.19777777777777777
Std deviation :0.06081747637068449

On ALL the sets

Accuracy on all the set for every iteration, for every couple c,sigma (n_of_the_iter, c, sigma):
(0, 0.1, 0.225): 0.733333333333
(0, 1.0, 0.2): 0.733333333333
(0, 1.0, 0.225): 0.733333333333
(0, 1.0, 0.25): 0.8
(0, 1.0, 0.275): 0.8
(0, 1.0, 0.3): 0.733333333333
(0, 10.0, 0.2): 0.733333333333
(0, 10.0, 0.225): 0.733333333333
(0, 10.0, 0.25): 0.8
(0, 10.0, 0.275): 0.8
(0, 10.0, 0.3): 0.733333333333
(0, 100.0, 0.2): 0.733333333333
(0, 100.0, 0.225): 0.733333333333
(0, 100.0, 0.25): 0.8
(0, 100.0, 0.275): 0.8
(0, 100.0, 0.3): 0.733333333333
(1, 1.0, 0.2): 0.733333333333
(1, 1.0, 0.225): 0.8
(1, 1.0, 0.25): 0.866666666667
(1, 1.0, 0.275): 0.866666666667
(1, 1.0, 0.3): 0.866666666667
(1, 10.0, 0.2): 0.666666666667
(1, 10.0, 0.225): 0.8
(1, 10.0, 0.25): 0.866666666667
(1, 10.0, 0.275): 0.866666666667
(1, 10.0, 0.3): 0.866666666667
(1, 100.0, 0.2): 0.666666666667
(1, 100.0, 0.225): 0.8
(1, 100.0, 0.25): 0.8
(1, 100.0, 0.275): 0.866666666667
(1, 100.0, 0.3): 0.866666666667
(2, 1.0, 0.2): 0.933333333333
