Binary Muzzifier_2dim, number of iterations: 10

Parameters info
Tradeoffs parameter: [  0.1   1.   10.  100. ]
Gaussian kernel sigmas: [0.05 0.1  0.2  0.3 ]
Number of principal dimension considerated: 2
Dataset length: 150

Clusterization info
Minimum size of a cluster: in perc: 0.01, in int: 2
Type of mu: Binary Muzzifier
Fuzzifier: Linear
Cluster to label info
Force the number of cluster to be the number of different labels: False
Force the labels to be always represent by a cluster: False

Validation info
Conflict resolution: random


RESULTS

On TEST set

Accuracy on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 10.0, 0.2): 0.866666666667
(1, 1.0, 0.1): 0.666666666667
(2, 100.0, 0.2): 0.866666666667
(3, 1.0, 0.2): 0.933333333333
(4, 100.0, 0.2): 0.8
(5, 10.0, 0.2): 0.666666666667
(6, 100.0, 0.2): 0.133333333333
(7, 1.0, 0.2): 0.866666666667
(8, 1.0, 0.2): 0.8
(9, 10.0, 0.2): 0.8

Loss on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 10.0, 0.2): 0.133333333333
(1, 1.0, 0.1): 0.333333333333
(2, 100.0, 0.2): 0.133333333333
(3, 1.0, 0.2): 0.0666666666667
(4, 100.0, 0.2): 0.2
(5, 10.0, 0.2): 0.333333333333
(6, 100.0, 0.2): 0.866666666667
(7, 1.0, 0.2): 0.133333333333
(8, 1.0, 0.2): 0.2
(9, 10.0, 0.2): 0.2

Accuracy mean :0.74
Std deviation :0.21797043632362423
Loss mean :0.26
Std deviation :0.2179704363236242

On TRAINING set

Accuracy on training set for every iteration (n_of_the_iter, c, sigma):
(0, 10.0, 0.2): 0.866666666667
(1, 1.0, 0.1): 0.725925925926
(2, 100.0, 0.2): 0.896296296296
(3, 1.0, 0.2): 0.896296296296
(4, 100.0, 0.2): 0.881481481481
(5, 10.0, 0.2): 0.785185185185
(6, 100.0, 0.2): 0.355555555556
(7, 1.0, 0.2): 0.881481481481
(8, 1.0, 0.2): 0.911111111111
(9, 10.0, 0.2): 0.881481481481
Loss on training set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 10.0, 0.2): 0.133333333333
(1, 1.0, 0.1): 0.274074074074
(2, 100.0, 0.2): 0.103703703704
(3, 1.0, 0.2): 0.103703703704
(4, 100.0, 0.2): 0.118518518519
(5, 10.0, 0.2): 0.214814814815
(6, 100.0, 0.2): 0.644444444444
(7, 1.0, 0.2): 0.118518518519
(8, 1.0, 0.2): 0.0888888888889
(9, 10.0, 0.2): 0.118518518519

Accuracy mean :0.8081481481481483
Std deviation :0.1605699724400011
Loss mean :0.19185185185185186
Std deviation :0.16056997244000112

On ALL the sets

Accuracy on all the set for every iteration, for every couple c,sigma (n_of_the_iter, c, sigma):
(0, 0.1, 0.3): 0.133333333333
(0, 1.0, 0.1): 0.4
(0, 1.0, 0.2): 0.733333333333
(0, 1.0, 0.3): 0.133333333333
(0, 10.0, 0.1): 0.466666666667
(0, 10.0, 0.2): 0.733333333333
(0, 10.0, 0.3): 0.133333333333
(0, 100.0, 0.1): 0.333333333333
(0, 100.0, 0.2): 0.733333333333
(0, 100.0, 0.3): 0.133333333333
(1, 1.0, 0.1): 0.933333333333
(1, 1.0, 0.2): 0.266666666667
(1, 1.0, 0.3): 0.266666666667
