Crisp_2dim, number of iterations: 10

Parameters info
Tradeoffs parameter: [  0.1   1.   10.  100. ]
Gaussian kernel sigmas: [0.05 0.1  0.2  0.3 ]
Number of principal dimension considerated: 2
Dataset length: 150

Clusterization info
Minimum size of a cluster: in perc: 0.01, in int: 2
Type of mu: Binary Muzzifier
Fuzzifier: Crisp
Cluster to label info
Force the number of cluster to be the number of different labels: False
Force the labels to be always represent by a cluster: False

Validation info
Conflict resolution: random


RESULTS

On TEST set

Accuracy on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 10.0, 0.2): 0.266666666667
(1, 1.0, 0.3): 0.666666666667
(2, 100.0, 0.2): 0.533333333333
(3, 100.0, 0.3): 0.6
(4, 10.0, 0.3): 0.266666666667
(5, 100.0, 0.3): 0.6
(6, 1.0, 0.3): 0.133333333333
(7, 1.0, 0.2): 0.4
(8, 100.0, 0.3): 0.266666666667
(9, 1.0, 0.3): 0.6

Loss on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 10.0, 0.2): 0.733333333333
(1, 1.0, 0.3): 0.333333333333
(2, 100.0, 0.2): 0.466666666667
(3, 100.0, 0.3): 0.4
(4, 10.0, 0.3): 0.733333333333
(5, 100.0, 0.3): 0.4
(6, 1.0, 0.3): 0.866666666667
(7, 1.0, 0.2): 0.6
(8, 100.0, 0.3): 0.733333333333
(9, 1.0, 0.3): 0.4

Accuracy mean :0.4333333333333334
Std deviation :0.17950549357115014
Loss mean :0.5666666666666667
Std deviation :0.17950549357115014

On TRAINING set

Accuracy on training set for every iteration (n_of_the_iter, c, sigma):
(0, 10.0, 0.2): 0.637037037037
(1, 1.0, 0.3): 0.622222222222
(2, 100.0, 0.2): 0.577777777778
(3, 100.0, 0.3): 0.644444444444
(4, 10.0, 0.3): 0.659259259259
(5, 100.0, 0.3): 0.659259259259
(6, 1.0, 0.3): 0.355555555556
(7, 1.0, 0.2): 0.644444444444
(8, 100.0, 0.3): 0.562962962963
(9, 1.0, 0.3): 0.577777777778
Loss on training set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 10.0, 0.2): 0.362962962963
(1, 1.0, 0.3): 0.377777777778
(2, 100.0, 0.2): 0.422222222222
(3, 100.0, 0.3): 0.355555555556
(4, 10.0, 0.3): 0.340740740741
(5, 100.0, 0.3): 0.340740740741
(6, 1.0, 0.3): 0.644444444444
(7, 1.0, 0.2): 0.355555555556
(8, 100.0, 0.3): 0.437037037037
(9, 1.0, 0.3): 0.422222222222

Accuracy mean :0.5940740740740741
Std deviation :0.08637176798310169
Loss mean :0.4059259259259259
Std deviation :0.0863717679831017

On ALL the sets

Accuracy on all the set for every iteration, for every couple c,sigma (n_of_the_iter, c, sigma):
(0, 1.0, 0.2): 0.466666666667
(0, 1.0, 0.3): 0.4
(0, 10.0, 0.2): 0.6
(0, 10.0, 0.3): 0.4
(0, 100.0, 0.2): 0.533333333333
(0, 100.0, 0.3): 0.466666666667
(1, 1.0, 0.1): 0.133333333333
(1, 1.0, 0.2): 0.533333333333
(1, 1.0, 0.3): 0.8
(1, 10.0, 0.1): 0.333333333333
(1, 10.0, 0.2): 0.466666666667
(1, 10.0, 0.3): 0.6
(1, 100.0, 0.1): 0.266666666667
(1, 100.0, 0.2): 0.4
(1, 100.0, 0.3): 0.6
(2, 1.0, 0.1): 0.2
(2, 1.0, 0.2): 0.466666666667
(2, 1.0, 0.3): 0.333333333333
(2, 10.0, 0.1): 0.2
(2, 10.0, 0.2): 0.466666666667
(2, 10.0, 0.3): 0.333333333333
(2, 100.0, 0.1): 0.2
(2, 100.0, 0.2): 0.466666666667
(2, 100.0, 0.3): 0.333333333333
(3, 1.0, 0.1): 0.533333333333
(3, 1.0, 0.2): 0.333333333333
(3, 1.0, 0.3): 0.533333333333
(3, 10.0, 0.1): 0.333333333333
(3, 10.0, 0.2): 0.333333333333
(3, 10.0, 0.3): 0.6
(3, 100.0, 0.1): 0.333333333333
(3, 100.0, 0.2): 0.466666666667
(3, 100.0, 0.3): 0.666666666667
(4, 1.0, 0.2): 0.4
(4, 1.0, 0.3): 0.6
(4, 10.0, 0.2): 0.4
(4, 10.0, 0.3): 0.666666666667
(4, 100.0, 0.2): 0.266666666667
