Crisp_2dim, number of iterations: 10

Parameters info
Tradeoffs parameter: [  0.1   1.   10.  100. ]
Gaussian kernel sigmas: [0.2   0.225 0.25  0.275 0.3  ]
Number of principal dimension considerated: 2
Dataset length: 150

Clusterization info
Minimum size of a cluster: in perc: 0.01, in int: 2
Type of mu: Binary Muzzifier
Fuzzifier: Crisp
Cluster to label info
Force the number of cluster to be the number of different labels: False
Force the labels to be always represent by a cluster: False

Validation info
Conflict resolution: random


RESULTS

On TEST set

Accuracy on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 1.0, 0.275): 0.333333333333
(1, 100.0, 0.2): 0.2
(2, 100.0, 0.2): 0.8
(3, 1.0, 0.25): 0.466666666667
(4, 1.0, 0.225): 0.466666666667
(5, 100.0, 0.25): 0.333333333333
(6, 1.0, 0.275): 0.533333333333
(7, 10.0, 0.3): 0.4
(8, 1.0, 0.25): 0.133333333333
(9, 10.0, 0.3): 0.533333333333

Loss on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 1.0, 0.275): 0.666666666667
(1, 100.0, 0.2): 0.8
(2, 100.0, 0.2): 0.2
(3, 1.0, 0.25): 0.533333333333
(4, 1.0, 0.225): 0.533333333333
(5, 100.0, 0.25): 0.666666666667
(6, 1.0, 0.275): 0.466666666667
(7, 10.0, 0.3): 0.6
(8, 1.0, 0.25): 0.866666666667
(9, 10.0, 0.3): 0.466666666667

Accuracy mean :0.4200000000000001
Std deviation :0.17900962109463403
Loss mean :0.5799999999999998
Std deviation :0.17900962109463403

On TRAINING set

Accuracy on training set for every iteration (n_of_the_iter, c, sigma):
(0, 1.0, 0.275): 0.592592592593
(1, 100.0, 0.2): 0.348148148148
(2, 100.0, 0.2): 0.659259259259
(3, 1.0, 0.25): 0.525925925926
(4, 1.0, 0.225): 0.540740740741
(5, 100.0, 0.25): 0.540740740741
(6, 1.0, 0.275): 0.696296296296
(7, 10.0, 0.3): 0.607407407407
(8, 1.0, 0.25): 0.659259259259
(9, 10.0, 0.3): 0.585185185185
Loss on training set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 1.0, 0.275): 0.407407407407
(1, 100.0, 0.2): 0.651851851852
(2, 100.0, 0.2): 0.340740740741
(3, 1.0, 0.25): 0.474074074074
(4, 1.0, 0.225): 0.459259259259
(5, 100.0, 0.25): 0.459259259259
(6, 1.0, 0.275): 0.303703703704
(7, 10.0, 0.3): 0.392592592593
(8, 1.0, 0.25): 0.340740740741
(9, 10.0, 0.3): 0.414814814815

Accuracy mean :0.5755555555555556
Std deviation :0.09305366683176307
Loss mean :0.42444444444444446
Std deviation :0.09305366683176308

On ALL the sets

Accuracy on all the set for every iteration, for every couple c,sigma (n_of_the_iter, c, sigma):
(0, 0.1, 0.275): 0.6
(0, 0.1, 0.3): 0.466666666667
(0, 1.0, 0.2): 0.666666666667
(0, 1.0, 0.225): 0.466666666667
(0, 1.0, 0.25): 0.4
(0, 1.0, 0.275): 0.733333333333
(0, 1.0, 0.3): 0.6
(0, 10.0, 0.2): 0.4
(0, 10.0, 0.225): 0.6
(0, 10.0, 0.25): 0.466666666667
(0, 10.0, 0.275): 0.6
(0, 10.0, 0.3): 0.666666666667
(0, 100.0, 0.2): 0.533333333333
(0, 100.0, 0.225): 0.6
(0, 100.0, 0.25): 0.4
(0, 100.0, 0.275): 0.666666666667
(0, 100.0, 0.3): 0.6
(1, 1.0, 0.2): 0.266666666667
(1, 1.0, 0.225): 0.466666666667
(1, 1.0, 0.25): 0.266666666667
(1, 1.0, 0.275): 0.6
(1, 1.0, 0.3): 0.4
(1, 10.0, 0.2): 0.266666666667
(1, 10.0, 0.225): 0.333333333333
(1, 10.0, 0.25): 0.333333333333
(1, 10.0, 0.275): 0.4
(1, 10.0, 0.3): 0.533333333333
(1, 100.0, 0.2): 0.733333333333
(1, 100.0, 0.225): 0.6
(1, 100.0, 0.25): 0.4
(1, 100.0, 0.275): 0.466666666667
(1, 100.0, 0.3): 0.266666666667
(2, 1.0, 0.2): 0.333333333333
(2, 1.0, 0.225): 0.6
(2, 1.0, 0.25): 0.4
(2, 1.0, 0.275): 0.666666666667
(2, 1.0, 0.3): 0.4
(2, 10.0, 0.2): 0.466666666667
(2, 10.0, 0.225): 0.333333333333
(2, 10.0, 0.25): 0.4
(2, 10.0, 0.275): 0.533333333333
(2, 10.0, 0.3): 0.266666666667
(2, 100.0, 0.2): 0.733333333333
(2, 100.0, 0.225): 0.6
(2, 100.0, 0.25): 0.4
(2, 100.0, 0.275): 0.666666666667
(2, 100.0, 0.3): 0.666666666667
(3, 1.0, 0.225): 0.466666666667
(3, 1.0, 0.25): 0.666666666667
(3, 1.0, 0.275): 0.533333333333
(3, 1.0, 0.3): 0.4
(3, 10.0, 0.225): 0.533333333333
(3, 10.0, 0.25): 0.6
(3, 10.0, 0.275): 0.466666666667
(3, 10.0, 0.3): 0.466666666667
(3, 100.0, 0.2): 0.466666666667
(3, 100.0, 0.225): 0.333333333333
(3, 100.0, 0.25): 0.466666666667
(3, 100.0, 0.275): 0.4
(3, 100.0, 0.3): 0.333333333333
(4, 1.0, 0.2): 0.533333333333
(4, 1.0, 0.225): 0.666666666667
(4, 1.0, 0.25): 0.4
