Force_True_2dim, number of iterations: 10

Parameters info
Tradeoffs parameter: [1.e-02 1.e-01 1.e+00 1.e+01 1.e+02]
Gaussian kernel sigmas: [0.2   0.225 0.25  0.275 0.3  ]
Number of principal dimension considerated: 2
Dataset length: 150

Clusterization info
Minimum size of a cluster: in perc: 0.01, in int: 2
Type of mu: Binary Muzzifier
Fuzzifier: Linear
Cluster to label info
Force the number of cluster to be the number of different labels: True
Force the labels to be always represent by a cluster: True

Validation info
Conflict resolution: random


RESULTS

On TEST set

Accuracy on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 100.0, 0.3): 0.733333333333
(1, 10.0, 0.275): 0.4
(2, 100.0, 0.225): 0.733333333333
(3, 10.0, 0.225): 0.866666666667
(4, 10.0, 0.2): 0.933333333333
(5, 100.0, 0.25): 0.733333333333
(6, 10.0, 0.25): 0.733333333333
(7, 10.0, 0.225): 0.866666666667
(8, 100.0, 0.2): 0.666666666667
(9, 100.0, 0.2): 0.8

Loss on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 100.0, 0.3): 0.266666666667
(1, 10.0, 0.275): 0.6
(2, 100.0, 0.225): 0.266666666667
(3, 10.0, 0.225): 0.133333333333
(4, 10.0, 0.2): 0.0666666666667
(5, 100.0, 0.25): 0.266666666667
(6, 10.0, 0.25): 0.266666666667
(7, 10.0, 0.225): 0.133333333333
(8, 100.0, 0.2): 0.333333333333
(9, 100.0, 0.2): 0.2

Accuracy mean :0.7466666666666668
Std deviation :0.139204086785474
Loss mean :0.25333333333333335
Std deviation :0.139204086785474

On TRAINING set

Accuracy on training set for every iteration (n_of_the_iter, c, sigma):
(0, 100.0, 0.3): 0.740740740741
(1, 10.0, 0.275): 0.711111111111
(2, 100.0, 0.225): 0.851851851852
(3, 10.0, 0.225): 0.844444444444
(4, 10.0, 0.2): 0.837037037037
(5, 100.0, 0.25): 0.777777777778
(6, 10.0, 0.25): 0.711111111111
(7, 10.0, 0.225): 0.874074074074
(8, 100.0, 0.2): 0.674074074074
(9, 100.0, 0.2): 0.814814814815
Loss on training set for every iteration (n_of_the_iter, best_c, best_sigma):
