Crisp_Binary Muzzifier_2dim, number of iterations: 10

Parameters info
Tradeoffs parameter: [  0.1   1.   10.  100. ]
Gaussian kernel sigmas: [0.2   0.225 0.25  0.275 0.3  ]
Number of principal dimension considerated: 2
Dataset length: 150

Clusterization info
Minimum size of a cluster: in perc: 0.01, in int: 2
Type of mu: Binary Muzzifier
Fuzzifier: Crisp
Cluster to label info
Force the number of cluster to be the number of different labels: False
Force the labels to be always represent by a cluster: False

Validation info
Conflict resolution: random


RESULTS

On TEST set

Accuracy on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 100.0, 0.25): 0.466666666667
(1, 1.0, 0.3): 0.533333333333
(2, 0.1, 0.275): 0.266666666667
(3, 100.0, 0.3): 0.4
(4, 100.0, 0.225): 0.6
(5, 100.0, 0.25): 0.466666666667
(6, 1.0, 0.275): 0.6
(7, 10.0, 0.25): 0.6
(8, 10.0, 0.3): 0.666666666667
(9, 1.0, 0.225): 0.6

Loss on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 100.0, 0.25): 0.533333333333
(1, 1.0, 0.3): 0.466666666667
(2, 0.1, 0.275): 0.733333333333
(3, 100.0, 0.3): 0.6
(4, 100.0, 0.225): 0.4
(5, 100.0, 0.25): 0.533333333333
(6, 1.0, 0.275): 0.4
(7, 10.0, 0.25): 0.4
(8, 10.0, 0.3): 0.333333333333
(9, 1.0, 0.225): 0.4

Accuracy mean :0.5199999999999999
Std deviation :0.11469767022723501
Loss mean :0.48
Std deviation :0.114697670227235

On TRAINING set

Accuracy on training set for every iteration (n_of_the_iter, c, sigma):
(0, 100.0, 0.25): 0.577777777778
(1, 1.0, 0.3): 0.614814814815
(2, 0.1, 0.275): 0.511111111111
(3, 100.0, 0.3): 0.62962962963
(4, 100.0, 0.225): 0.674074074074
(5, 100.0, 0.25): 0.518518518519
(6, 1.0, 0.275): 0.533333333333
(7, 10.0, 0.25): 0.644444444444
(8, 10.0, 0.3): 0.644444444444
(9, 1.0, 0.225): 0.696296296296
Loss on training set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 100.0, 0.25): 0.422222222222
(1, 1.0, 0.3): 0.385185185185
(2, 0.1, 0.275): 0.488888888889
(3, 100.0, 0.3): 0.37037037037
(4, 100.0, 0.225): 0.325925925926
(5, 100.0, 0.25): 0.481481481481
(6, 1.0, 0.275): 0.466666666667
(7, 10.0, 0.25): 0.355555555556
(8, 10.0, 0.3): 0.355555555556
(9, 1.0, 0.225): 0.303703703704

Accuracy mean :0.6044444444444445
Std deviation :0.06252132695113836
Loss mean :0.39555555555555555
Std deviation :0.06252132695113834

On ALL the sets

Accuracy on all the set for every iteration, for every couple c,sigma (n_of_the_iter, c, sigma):
(0, 0.1, 0.275): 0.266666666667
(0, 1.0, 0.2): 0.266666666667
(0, 1.0, 0.225): 0.466666666667
(0, 1.0, 0.25): 0.266666666667
(0, 1.0, 0.275): 0.266666666667
(0, 1.0, 0.3): 0.533333333333
(0, 10.0, 0.2): 0.333333333333
(0, 10.0, 0.225): 0.4
(0, 10.0, 0.25): 0.6
(0, 10.0, 0.275): 0.266666666667
(0, 10.0, 0.3): 0.533333333333
(0, 100.0, 0.2): 0.466666666667
(0, 100.0, 0.225): 0.4
(0, 100.0, 0.25): 0.8
(0, 100.0, 0.275): 0.266666666667
(0, 100.0, 0.3): 0.666666666667
(1, 0.1, 0.275): 0.466666666667
(1, 1.0, 0.2): 0.4
(1, 1.0, 0.225): 0.533333333333
(1, 1.0, 0.25): 0.533333333333
(1, 1.0, 0.275): 0.533333333333
(1, 1.0, 0.3): 0.666666666667
(1, 10.0, 0.2): 0.2
(1, 10.0, 0.225): 0.466666666667
(1, 10.0, 0.25): 0.533333333333
(1, 10.0, 0.275): 0.6
(1, 10.0, 0.3): 0.4
(1, 100.0, 0.2): 0.4
(1, 100.0, 0.225): 0.333333333333
(1, 100.0, 0.25): 0.533333333333
(1, 100.0, 0.275): 0.4
(1, 100.0, 0.3): 0.4
(2, 0.1, 0.25): 0.466666666667
(2, 0.1, 0.275): 0.666666666667
(2, 1.0, 0.2): 0.333333333333
(2, 1.0, 0.225): 0.4
(2, 1.0, 0.25): 0.533333333333
(2, 1.0, 0.275): 0.4
(2, 1.0, 0.3): 0.6
(2, 10.0, 0.2): 0.333333333333
(2, 10.0, 0.225): 0.266666666667
(2, 10.0, 0.25): 0.466666666667
(2, 10.0, 0.275): 0.533333333333
(2, 10.0, 0.3): 0.4
(2, 100.0, 0.2): 0.4
(2, 100.0, 0.225): 0.333333333333
(2, 100.0, 0.25): 0.466666666667
(2, 100.0, 0.275): 0.4
(2, 100.0, 0.3): 0.533333333333
(3, 0.1, 0.3): 0.533333333333
(3, 1.0, 0.2): 0.466666666667
(3, 1.0, 0.225): 0.4
(3, 1.0, 0.25): 0.4
(3, 1.0, 0.3): 0.6
(3, 10.0, 0.2): 0.466666666667
(3, 10.0, 0.225): 0.4
(3, 10.0, 0.25): 0.533333333333
(3, 10.0, 0.275): 0.4
(3, 10.0, 0.3): 0.533333333333
(3, 100.0, 0.2): 0.4
(3, 100.0, 0.225): 0.266666666667
(3, 100.0, 0.25): 0.4
(3, 100.0, 0.3): 0.733333333333
(4, 1.0, 0.2): 0.266666666667
(4, 1.0, 0.225): 0.6
(4, 1.0, 0.25): 0.2
(4, 1.0, 0.275): 0.4
(4, 1.0, 0.3): 0.466666666667
(4, 10.0, 0.2): 0.333333333333
(4, 10.0, 0.225): 0.6
(4, 10.0, 0.25): 0.4
(4, 10.0, 0.275): 0.4
(4, 10.0, 0.3): 0.4
(4, 100.0, 0.2): 0.533333333333
(4, 100.0, 0.225): 0.666666666667
(4, 100.0, 0.25): 0.4
(4, 100.0, 0.275): 0.333333333333
(4, 100.0, 0.3): 0.466666666667
(5, 0.1, 0.25): 0.266666666667
(5, 1.0, 0.2): 0.4
(5, 1.0, 0.225): 0.4
(5, 1.0, 0.25): 0.466666666667
(5, 1.0, 0.275): 0.266666666667
(5, 1.0, 0.3): 0.333333333333
(5, 10.0, 0.2): 0.333333333333
(5, 10.0, 0.225): 0.466666666667
(5, 10.0, 0.25): 0.466666666667
(5, 10.0, 0.275): 0.4
(5, 10.0, 0.3): 0.333333333333
(5, 100.0, 0.2): 0.4
(5, 100.0, 0.225): 0.333333333333
(5, 100.0, 0.25): 0.6
(5, 100.0, 0.275): 0.333333333333
(5, 100.0, 0.3): 0.533333333333
(6, 1.0, 0.2): 0.466666666667
(6, 1.0, 0.225): 0.533333333333
(6, 1.0, 0.25): 0.4
(6, 1.0, 0.275): 0.6
(6, 1.0, 0.3): 0.466666666667
(6, 10.0, 0.2): 0.466666666667
(6, 10.0, 0.225): 0.533333333333
(6, 10.0, 0.25): 0.333333333333
(6, 10.0, 0.275): 0.266666666667
(6, 10.0, 0.3): 0.4
(6, 100.0, 0.2): 0.466666666667
(6, 100.0, 0.225): 0.333333333333
(6, 100.0, 0.25): 0.6
(6, 100.0, 0.275): 0.533333333333
(6, 100.0, 0.3): 0.333333333333
(7, 0.1, 0.3): 0.533333333333
(7, 1.0, 0.2): 0.466666666667
(7, 1.0, 0.225): 0.533333333333
(7, 1.0, 0.25): 0.8
(7, 1.0, 0.275): 0.466666666667
(7, 1.0, 0.3): 0.6
(7, 10.0, 0.2): 0.8
(7, 10.0, 0.225): 0.466666666667
(7, 10.0, 0.25): 0.933333333333
(7, 10.0, 0.275): 0.533333333333
(7, 10.0, 0.3): 0.6
(7, 100.0, 0.2): 0.533333333333
(7, 100.0, 0.225): 0.466666666667
(7, 100.0, 0.25): 0.733333333333
(7, 100.0, 0.275): 0.533333333333
(7, 100.0, 0.3): 0.666666666667
(8, 1.0, 0.2): 0.533333333333
(8, 1.0, 0.225): 0.333333333333
(8, 1.0, 0.25): 0.466666666667
(8, 1.0, 0.275): 0.266666666667
(8, 1.0, 0.3): 0.466666666667
(8, 10.0, 0.2): 0.333333333333
(8, 10.0, 0.225): 0.4
(8, 10.0, 0.25): 0.333333333333
(8, 10.0, 0.275): 0.533333333333
(8, 10.0, 0.3): 0.6
(8, 100.0, 0.2): 0.333333333333
(8, 100.0, 0.225): 0.466666666667
(8, 100.0, 0.25): 0.533333333333
(8, 100.0, 0.275): 0.533333333333
(8, 100.0, 0.3): 0.466666666667
(9, 1.0, 0.2): 0.666666666667
(9, 1.0, 0.225): 0.8
(9, 1.0, 0.25): 0.666666666667
(9, 1.0, 0.275): 0.333333333333
(9, 1.0, 0.3): 0.4
(9, 10.0, 0.2): 0.466666666667
